"","zip","region"
"1278",17277,"East"
"1279",17278,"East"
"1280",17279,"East"
"1281",17280,"East"
"1282",17281,"East"
"1283",17282,"East"
"1284",17283,"East"
"1285",17284,"East"
"1286",17285,"East"
"1287",17286,"East"
"1288",17287,"East"
"1289",17288,"East"
"1290",17289,"East"
"1291",17290,"East"
"1292",17291,"East"
"1293",17292,"East"
"1294",17293,"East"
"1295",17294,"East"
"1296",17295,"East"
"1297",17296,"East"
"1298",17297,"East"
"1299",17298,"East"
"1300",17299,"East"
"1301",17300,"East"
"1302",17301,"East"
"1303",17302,"East"
"1304",17303,"East"
"1305",17304,"East"
"1306",17305,"East"
"1307",17306,"East"
"1308",17307,"East"
"1309",17308,"East"
"1310",17309,"East"
"1311",17310,"East"
"1312",17311,"East"
"1313",17312,"East"
"1314",17313,"East"
"1315",17314,"East"
"1316",17315,"East"
"1317",17316,"East"
"1318",17317,"East"
"1319",17318,"East"
"1320",17319,"East"
"1321",17320,"East"
"1322",17321,"East"
"1323",17322,"East"
"1324",17323,"East"
"1325",17324,"East"
"1326",17325,"East"
"1327",17326,"East"
"1328",17327,"East"
"1329",17328,"East"
"1330",17329,"East"
"1331",17330,"East"
"1332",17331,"East"
"1333",17332,"East"
"1334",17333,"East"
"1335",17334,"East"
"1336",17335,"East"
"1337",17336,"East"
"1338",17337,"East"
"1339",17338,"East"
"1340",17339,"East"
"1341",17340,"East"
"1342",17341,"East"
"1343",17342,"East"
"1344",17343,"East"
"1345",17344,"East"
"1346",17345,"East"
"1347",17346,"East"
"1348",17347,"East"
"1349",17348,"East"
"1350",17349,"East"
"1351",17350,"East"
"1352",17351,"East"
"1353",17352,"East"
"1354",17353,"East"
"1355",17354,"East"
"1356",17355,"East"
"1357",17356,"East"
"1358",17357,"East"
